asset,diff_native_t,diff_native_t_1,delta,delta_native,price_t,delta_nominal,timestamp_t
ETH,585.9050242059129,576.6617377165167,True,9.243286489396269,1581.0395770352866,14614.001761611056,2025-04-22 06:55:00
SOL,6528.708782510541,6427.085974426271,True,101.62280808427022,139.05008420199832,14130.66002096129,2025-04-22 06:55:00
BAL,7979.329746509389,95.83734516781988,True,7883.492401341569,0.8938516539957208,7046.672722201858,2025-04-22 06:55:00
BTC,-1.9867700440859153,-1.9177921189707376,True,-0.06897792511517764,88168.8400328223,-6081.703645276094,2025-04-22 06:55:00
PROPC,-26905.842142050155,-17511.30080465204,True,-9394.541337398114,0.5946913408411523,-5586.8523845249165,2025-04-22 06:55:00
ATOM,39278.45316924382,38093.6612719243,True,1184.7918973195192,4.00658788321583,4746.972859932679,2025-04-22 06:55:00
BNB,329.5302218404031,334.73311502875003,True,-5.202893188346934,601.3429881176435,-3128.7233367374783,2025-04-22 06:55:00
ADA,145591.48837877065,149903.30060005188,True,-4311.81222128123,0.6243459589256968,-2692.0625360033687,2025-04-22 06:55:00
MASA,-105898.62452316866,-24180.908927238663,True,-81717.71559593,0.021750788958708852,-1777.4247861148644,2025-04-22 06:55:00
DOT,57485.67762643006,57961.732812025235,True,-476.05518559517805,3.704370827684859,-1763.4849418868787,2025-04-22 06:55:00
TIA,11575.050953350554,10889.830947233335,True,685.2200061172189,2.4908940628136196,1706.8104449584926,2025-04-22 06:55:00
VTHO,8519616.362878531,7817802.50849098,True,701813.8543875515,0.0023868466508362583,1675.1220478554128,2025-04-22 06:55:00
XRP,9150.875450059772,9699.622705332935,True,-548.7472552731633,2.072701190590932,-1137.3890893381915,2025-04-22 06:55:00
XTZ,2355.0395847356413,4590.618491302535,True,-2235.578906566894,0.49833632376039144,-1114.0701737748216,2025-04-22 06:55:00
